New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
203,205,Renton,WA,6/18/2024,121,18.6,Alive,,2024,
206,206,Renton,WA,6/18/2024,121,13.8,Alive,,2024,
209,207,Renton,WA,6/18/2024,135,16.2,Alive,,2024,
210,208,Renton,WA,6/18/2024,164,20.3,Alive,,2024,
211,209,Renton,WA,6/18/2024,53,12.8,Dying,Browsed top 1/2,2024,
213,210,Renton,WA,6/18/2024,141,16.2,Alive,,2024,
215,211,Renton,WA,6/18/2024,149,20.3,Alive,,2024,
216,212,Renton,WA,6/18/2024,134,17.2,Alive,,2024,
219,213,Renton,WA,6/18/2024,107,16.1,Alive,Browsed top 1/2,2024,
223,214,Renton,WA,6/18/2024,119,12.8,Alive,,2024,
221,215,Renton,WA,6/18/2024,134,16.9,Alive,,2024,
225,216,Renton,WA,6/18/2024,71,16.3,Alive,Browsed top 1/2,2024,
227,217,Renton,WA,6/18/2024,151,18.5,Alive,,2024,
,218,Renton,WA,6/18/2024,,,,,2024,
229,219,Renton,WA,6/18/2024,148,19.1,Alive,,2024,
232,220,Renton,WA,6/18/2024,135,22.5,Alive,"No tag, blue flagging",2024,
233,221,Renton,WA,6/18/2024,130,16.8,Alive,,2024,
235,222,Renton,WA,6/18/2024,121,17.8,Alive,,2024,
234,223,Renton,WA,6/18/2024,116,13.1,Alive,,2024,
237,224,Renton,WA,6/18/2024,108,15.2,Alive,,2024,
238,225,Renton,WA,6/18/2024,133,18.4,Alive,,2024,
75,1,Seattle,OR,6/17/2024,147,31.8,Alive,Black spots on leaves,2024,
,2,Seattle,OR,6/17/2024,,,Missing,,2024,
76,3,Seattle,OR,6/17/2024,123,22.2,Alive,,2024,
77,4,Seattle,OR,6/17/2024,114,27.6,Alive,,2024,
,5,Seattle,OR,6/17/2024,,,Missing,,2024,
,6,Seattle,OR,6/17/2024,,,Missing,,2024,
78,7,Seattle,OR,6/17/2024,110,23,Alive,,2024,
79,8,Seattle,OR,6/17/2024,171,32.9,Alive,,2024,
88,9,Seattle,OR,6/17/2024,124,20.7,Alive,Wound on stem,2024,
,10,Seattle,OR,6/17/2024,,,Missing,,2024,
89,11,Seattle,OR,6/17/2024,142,32,Alive,,2024,
90,12,Seattle,OR,6/17/2024,20,24.7,Alive,Wound on stem,2024,
91,13,Seattle,OR,6/17/2024,101,25.9,Alive,Extra sprouts at base,2024,
,14,Seattle,OR,6/17/2024,,,Missing,,2024,
92,15,Seattle,OR,6/17/2024,102,25.8,Alive,,2024,
93,16,Seattle,OR,6/17/2024,127,26.7,Alive,Two leaders,2024,
94,17,Seattle,OR,6/17/2024,126,25,Alive,,2024,
,18,Seattle,OR,6/17/2024,,,Missing,,2024,
105,19,Seattle,OR,6/17/2024,144,29.7,Alive,Black spots on leaves,2024,
,20,Seattle,OR,6/17/2024,,,Missing,,2024,
106,21,Seattle,OR,6/17/2024,116,28.2,Alive,,2024,
107,22,Seattle,OR,6/17/2024,129,25.3,Alive,,2024,
108,23,Seattle,OR,6/17/2024,154,26.8,Alive,Damage on stems,2024,
109,24,Seattle,OR,6/17/2024,154,38.5,Alive,Damage on stem,2024,
110,25,Seattle,OR,6/17/2024,183,36.6,Alive,,2024,
111,26,Seattle,OR,6/17/2024,55,13.4,Alive,Bites,2024,
112,27,Seattle,OR,6/17/2024,136,24.2,Alive,,2024,
113,28,Seattle,OR,6/17/2024,136,27,Alive,,2024,
,29,Seattle,OR,6/17/2024,,,Missing,,2024,
114,30,Seattle,OR,6/17/2024,136,23.6,Alive,,2024,
125,31,Seattle,OR,6/17/2024,114,21.8,Alive,,2024,
126,32,Seattle,OR,6/17/2024,121,21.5,Alive,Damage on Stem,2024,
127,33,Seattle,OR,6/17/2024,137,25.6,Alive,Extra growth,2024,
128,34,Seattle,OR,6/17/2024,142,30.8,Alive,,2024,
129,35,Seattle,OR,6/17/2024,137,28.9,Alive,,2024,
130,36,Seattle,OR,6/17/2024,150,29.2,Alive,,2024,
131,37,Seattle,OR,6/17/2024,141,34.1,Alive,,2024,
132,38,Seattle,OR,6/17/2024,141,39.9,Alive,,2024,
133,39,Seattle,OR,6/17/2024,179,33.7,Alive,,2024,
134,40,Seattle,OR,6/17/2024,137,37.8,Alive,,2024,
135,41,Seattle,OR,6/17/2024,176,33.7,Alive,,2024,
,42,Seattle,OR,6/17/2024,,,Missing,,2024,
,43,Seattle,OR,6/17/2024,,,Missing,,2024,
138,44,Seattle,OR,6/17/2024,119,23.9,Alive,,2024,
139,45,Seattle,OR,6/17/2024,124,25.1,Alive,,2024,
,46,Seattle,OR,6/17/2024,,,Missing,,2024,
,47,Seattle,OR,6/17/2024,,,Missing,,2024,
140,48,Seattle,OR,6/17/2024,139,25.3,Alive,,2024,
141,49,Seattle,OR,6/17/2024,145,33.8,Alive,,2024,
142,50,Seattle,OR,6/17/2024,171,34.6,Alive,,2024,
69,1,Seattle,WA,6/17/2024,130,27.5,Alive,,2024,
70,2,Seattle,WA,6/17/2024,110,21.3,Alive,,2024,
71,3,Seattle,WA,6/17/2024,145,31,Alive,,2024,
72,4,Seattle,WA,6/17/2024,135,28.6,Alive,,2024,
