"","Tree Number","Site","Seed Zone","Measurement.Year","Date Measured","Tree Height (cm)","Tree Diameter (mm)","Health","Comment","Date Planted","Temp Tree Number","New Tree Number","Year Measured","Elk Browse","Planted Growth Days","Final.Health"
"29",3,"Seattle","WA",2026,2026-05-01,214,51.24,"Alive",NA,2020-02-08,248,71,NA,"N",2274,"Alive"
"30",4,"Seattle","OR",2022,2020-01-31,70.9,9.4,"Alive",NA,2020-02-08,4,77,NA,"N",-8,"Alive"
"31",4,"Seattle","OR",2023,2023-04-06,70,14.2,"Alive","2 leaders",2020-02-08,4,77,NA,"N",1153,"Alive"
"32",4,"Seattle","OR",2024,2024-06-17,114,27.6,"Alive",NA,2020-02-08,4,77,2024,"N",1591,"Alive"
"33",4,"Seattle","OR",2025,2025-06-11,179,43.5,"Alive",NA,2020-02-08,4,77,NA,"N",1950,"Alive"
"34",4,"Seattle","OR",2026,2026-05-01,202,50.94,"Alive",NA,2020-02-08,4,77,NA,"N",2274,"Alive"
"35",4,"Seattle","WA",2022,2020-01-31,97.6,9.4,"Alive",NA,2020-02-08,249,72,NA,"N",-8,"Alive"
"36",4,"Seattle","WA",2023,2023-04-06,102,15.6,"Alive",NA,2020-02-08,249,72,NA,"N",1153,"Alive"
"37",4,"Seattle","WA",2024,2024-06-17,135,28.6,"Alive",NA,2020-02-08,249,72,2024,"N",1591,"Alive"
"38",4,"Seattle","WA",2025,2025-06-11,191,48.4,"Alive",NA,2020-02-08,249,72,NA,"N",1950,"Alive"
"39",4,"Seattle","WA",2026,2026-05-01,220,51.4,"Alive","browsed slightly in middle",2020-02-08,249,72,NA,"Y",2274,"Alive"
"40",5,"Seattle","OR",2022,2020-01-31,66.4,7.3,"Alive",NA,2020-02-08,5,NA,NA,"N",-8,"Dead"
"41",5,"Seattle","OR",2023,2023-04-06,97,10.6,"Dead",NA,2020-02-08,5,NA,NA,"N",1153,"Dead"
"42",5,"Seattle","OR",2024,2024-06-17,NA,NA,"Dead",NA,2020-02-08,5,NA,2024,"N",1591,"Dead"
"43",5,"Seattle","OR",2025,2025-06-11,NA,NA,"Dead",NA,2020-02-08,5,NA,NA,"N",1950,"Dead"
"44",5,"Seattle","WA",2022,2020-01-31,92.2,10.4,"Alive",NA,2020-02-08,250,73,NA,"N",-8,"Alive"
"45",5,"Seattle","WA",2023,2023-04-06,93,16.7,"Alive",NA,2020-02-08,250,73,NA,"N",1153,"Alive"
"46",5,"Seattle","WA",2024,2024-06-17,135,27.2,"Alive",NA,2020-02-08,250,73,2024,"N",1591,"Alive"
"47",5,"Seattle","WA",2025,2025-06-11,183,44.5,"Alive",NA,2020-02-08,250,73,NA,"N",1950,"Alive"
"48",5,"Seattle","WA",2026,2026-05-01,215,50.21,"Alive",NA,2020-02-08,250,73,NA,"N",2274,"Alive"
"49",6,"Seattle","OR",2022,2020-01-31,60.6,6.1,"Alive",NA,2020-02-08,6,NA,NA,"N",-8,"Dead"
"50",6,"Seattle","OR",2023,2023-04-06,64,13,"Alive","many leaf sprouts at base",2020-02-08,6,NA,NA,"N",1153,"Dead"
"51",6,"Seattle","OR",2024,2024-06-17,NA,NA,"Dead",NA,2020-02-08,6,NA,2024,"N",1591,"Dead"
"52",6,"Seattle","OR",2025,2025-06-11,NA,NA,"Dead",NA,2020-02-08,6,NA,NA,"N",1950,"Dead"
"53",6,"Seattle","WA",2022,2020-01-31,97.2,8.7,"Alive",NA,2020-02-08,251,74,NA,"N",-8,"Alive"
"54",6,"Seattle","WA",2023,2023-04-06,99,16,"Alive",NA,2020-02-08,251,74,NA,"N",1153,"Alive"
"55",6,"Seattle","WA",2024,2024-06-17,148,37.1,"Alive",NA,2020-02-08,251,74,2024,"N",1591,"Alive"
"56",6,"Seattle","WA",2025,2025-06-11,198,56,"Alive",NA,2020-02-08,251,74,NA,"N",1950,"Alive"
"57",6,"Seattle","WA",2026,2026-05-01,212,58.21,"Alive",NA,2020-02-08,251,74,NA,"N",2274,"Alive"
"58",7,"Seattle","OR",2022,2020-01-31,83,9,"Alive","tree has slight angle at base",2020-02-08,7,78,NA,"N",-8,"Alive"
"59",7,"Seattle","OR",2023,2023-04-06,76,13.2,"Alive",NA,2020-02-08,7,78,NA,"N",1153,"Alive"
"60",7,"Seattle","OR",2024,2024-06-17,110,23,"Alive",NA,2020-02-08,7,78,2024,"N",1591,"Alive"
"61",7,"Seattle","OR",2025,2025-06-11,156,31.4,"Alive","Flagging",2020-02-08,7,78,NA,"N",1950,"Alive"
"62",7,"Seattle","OR",2026,2026-05-01,181,38.35,"Alive","minor flagging",2020-02-08,7,78,NA,"N",2274,"Alive"
"63",7,"Seattle","WA",2022,2020-01-31,92.2,6.7,"Alive",NA,2020-02-08,252,NA,NA,"N",-8,"Dead"
"64",7,"Seattle","WA",2023,2023-04-06,96,9.2,"Alive",NA,2020-02-08,252,NA,NA,"N",1153,"Dead"
"65",7,"Seattle","WA",2024,2024-06-17,94,7.8,"Dead",NA,2020-02-08,252,NA,2024,"N",1591,"Dead"
"66",7,"Seattle","WA",2025,2025-06-11,NA,NA,"Dead",NA,2020-02-08,252,NA,NA,"N",1950,"Dead"
"67",8,"Seattle","OR",2022,2020-01-31,90.4,9.6,"Alive",NA,2020-02-08,8,79,NA,"N",-8,"Alive"
"68",8,"Seattle","OR",2023,2023-04-06,86,13.9,"Alive",NA,2020-02-08,8,79,NA,"N",1153,"Alive"
"69",8,"Seattle","OR",2024,2024-06-17,171,32.9,"Alive",NA,2020-02-08,8,79,2024,"N",1591,"Alive"
"70",8,"Seattle","OR",2025,2025-06-11,212,51.7,"Alive",NA,2020-02-08,8,79,NA,"N",1950,"Alive"
"71",8,"Seattle","OR",2026,2026-05-01,214,55.71,"Alive",NA,2020-02-08,8,79,NA,"N",2274,"Alive"
"72",8,"Seattle","WA",2022,2020-01-31,95.2,10.4,"Alive",NA,2020-02-08,253,NA,NA,"N",-8,"Missing"
"73",8,"Seattle","WA",2023,2023-04-06,NA,NA,"Missing",NA,2020-02-08,253,NA,NA,"N",1153,"Missing"
"74",8,"Seattle","WA",2024,2024-06-17,NA,NA,"Missing",NA,2020-02-08,253,NA,2024,"N",1591,"Missing"
"75",8,"Seattle","WA",2025,2025-06-11,NA,NA,"Missing",NA,2020-02-08,253,NA,NA,"N",1950,"Missing"
"76",9,"Seattle","OR",2022,2020-01-31,82,8.5,"Alive","very slight angle at base",2020-02-08,9,88,NA,"N",-8,"Alive"
"77",9,"Seattle","OR",2023,2023-04-06,93,14.4,"Alive",NA,2020-02-08,9,88,NA,"N",1153,"Alive"
"78",9,"Seattle","OR",2024,2024-06-17,124,20.7,"Alive","Wound on stem",2020-02-08,9,88,2024,"N",1591,"Alive"
"79",9,"Seattle","OR",2025,2025-06-11,142,39.5,"Alive",NA,2020-02-08,9,88,NA,"N",1950,"Alive"
"80",9,"Seattle","OR",2026,2026-05-01,172,45.09,"Alive","mechanical damage (prev yrs)",2020-02-08,9,88,NA,"N",2274,"Alive"
"81",9,"Seattle","WA",2022,2020-01-31,95,8.6,"Alive",NA,2020-02-08,254,80,NA,"N",-8,"Alive"
"82",9,"Seattle","WA",2023,2023-04-06,111,13.7,"Alive",NA,2020-02-08,254,80,NA,"N",1153,"Alive"
"83",9,"Seattle","WA",2024,2024-06-17,149,30.7,"Alive",NA,2020-02-08,254,80,2024,"N",1591,"Alive"
"84",9,"Seattle","WA",2025,2025-06-11,208,48,"Alive",NA,2020-02-08,254,80,NA,"N",1950,"Alive"
"85",9,"Seattle","WA",2026,2026-05-01,233,58.78,"Alive","minor flagging",2020-02-08,254,80,NA,"N",2274,"Alive"
"86",10,"Seattle","OR",2022,2020-01-31,94,10.1,"Alive",NA,2020-02-08,10,NA,NA,"N",-8,"Missing"
"87",10,"Seattle","OR",2023,2023-04-06,NA,NA,"Missing",NA,2020-02-08,10,NA,NA,"N",1153,"Missing"
"88",10,"Seattle","OR",2024,2024-06-17,NA,NA,"Missing",NA,2020-02-08,10,NA,2024,"N",1591,"Missing"
"89",10,"Seattle","OR",2025,2025-06-11,NA,NA,"Missing",NA,2020-02-08,10,NA,NA,"N",1950,"Missing"
"90",10,"Seattle","WA",2022,2020-01-31,98.4,9,"Alive",NA,2020-02-08,255,81,NA,"N",-8,"Alive"
"91",10,"Seattle","WA",2023,2023-04-06,100,11.7,"Alive",NA,2020-02-08,255,81,NA,"N",1153,"Alive"
"92",10,"Seattle","WA",2024,2024-06-17,148,24.6,"Alive",NA,2020-02-08,255,81,2024,"N",1591,"Alive"
"93",10,"Seattle","WA",2025,2025-06-11,197,43,"Alive",NA,2020-02-08,255,81,NA,"N",1950,"Alive"
"94",10,"Seattle","WA",2026,2026-05-01,220,45.9,"Alive","epicormic sprouting",2020-02-08,255,81,NA,"N",2274,"Alive"
"95",11,"Seattle","OR",2022,2020-01-31,74,10,"Alive",NA,2020-02-08,11,89,NA,"N",-8,"Alive"
"96",11,"Seattle","OR",2023,2023-04-06,97,15.1,"Alive",NA,2020-02-08,11,89,NA,"N",1153,"Alive"
"97",11,"Seattle","OR",2024,2024-06-17,142,32,"Alive",NA,2020-02-08,11,89,2024,"N",1591,"Alive"
"98",11,"Seattle","OR",2025,2025-06-11,191,50.6,"Alive","no tag",2020-02-08,11,89,NA,"N",1950,"Alive"
"99",11,"Seattle","OR",2026,2026-05-01,208,54.08,"Alive","missing tag, epicormic sprouting",2020-02-08,11,89,NA,"N",2274,"Alive"
"100",11,"Seattle","WA",2022,2020-01-31,105.6,9.6,"Alive",NA,2020-02-08,256,82,NA,"N",-8,"Alive"
"101",11,"Seattle","WA",2023,2023-04-06,106,15.5,"Alive",NA,2020-02-08,256,82,NA,"N",1153,"Alive"
"102",11,"Seattle","WA",2024,2024-06-17,133,30.5,"Alive",NA,2020-02-08,256,82,2024,"N",1591,"Alive"
"103",11,"Seattle","WA",2025,2025-06-11,167,46.2,"Alive",NA,2020-02-08,256,82,NA,"N",1950,"Alive"
"104",11,"Seattle","WA",2026,2026-05-01,183,46.53,"Alive","missing tag, minor flagging",2020-02-08,256,82,NA,"N",2274,"Alive"
"105",12,"Seattle","OR",2022,2020-01-31,61.7,7.4,"Alive",NA,2020-02-08,12,90,NA,"N",-8,"Alive"
"106",12,"Seattle","OR",2023,2023-04-06,64,14.3,"Alive",NA,2020-02-08,12,90,NA,"N",1153,"Alive"
"107",12,"Seattle","OR",2024,2024-06-17,20,24.7,"Alive","Wound on stem",2020-02-08,12,90,2024,"N",1591,"Alive"
"108",12,"Seattle","OR",2025,2025-06-11,168,50.1,"Alive",NA,2020-02-08,12,90,NA,"N",1950,"Alive"
"109",12,"Seattle","OR",2026,2026-05-01,186,50.11,"Alive",NA,2020-02-08,12,90,NA,"N",2274,"Alive"
"110",12,"Seattle","WA",2022,2020-01-31,96.2,10.7,"Alive",NA,2020-02-08,257,83,NA,"N",-8,"Alive"
"111",12,"Seattle","WA",2023,2023-04-06,97,15,"Alive","potential cedar leaf blight at bottom",2020-02-08,257,83,NA,"N",1153,"Alive"
"112",12,"Seattle","WA",2024,2024-06-17,111,23.7,"Alive",NA,2020-02-08,257,83,2024,"N",1591,"Alive"
"113",12,"Seattle","WA",2025,2025-06-11,130,34.8,"Alive",NA,2020-02-08,257,83,NA,"N",1950,"Alive"
"114",12,"Seattle","WA",2026,2026-05-01,142,46.02,"Alive",NA,2020-02-08,257,83,NA,"N",2274,"Alive"
"115",13,"Seattle","OR",2022,2020-01-31,44.4,6.2,"Alive","two tops, measured tallest",2020-02-08,13,91,NA,"N",-8,"Alive"
"116",13,"Seattle","OR",2023,2023-04-06,57,8.7,"Alive","many leaf sprouts at bottom",2020-02-08,13,91,NA,"N",1153,"Alive"
"117",13,"Seattle","OR",2024,2024-06-17,101,25.9,"Alive","Extra sprouts at base",2020-02-08,13,91,2024,"N",1591,"Alive"
"118",13,"Seattle","OR",2025,2025-06-11,126,31.9,"Alive",NA,2020-02-08,13,91,NA,"N",1950,"Alive"
"119",13,"Seattle","OR",2026,2026-05-01,138,30.02,"Alive","base mechanical damage (prev yrs)",2020-02-08,13,91,NA,"N",2274,"Alive"
"120",13,"Seattle","WA",2022,2020-01-31,92.6,7.9,"Alive",NA,2020-02-08,258,84,NA,"N",-8,"Alive"
"121",13,"Seattle","WA",2023,2023-04-06,92,10.4,"Alive",NA,2020-02-08,258,84,NA,"N",1153,"Alive"
"122",13,"Seattle","WA",2024,2024-06-17,110,15.6,"Alive",NA,2020-02-08,258,84,2024,"N",1591,"Alive"
"123",13,"Seattle","WA",2025,2025-06-11,114,37.3,"Alive",NA,2020-02-08,258,84,NA,"N",1950,"Alive"
"124",13,"Seattle","WA",2026,2026-05-01,123,39.21,"Alive","minor flagging",2020-02-08,258,84,NA,"N",2274,"Alive"
"125",14,"Seattle","OR",2022,2020-01-31,50.4,5.7,"Alive",NA,2020-02-08,14,NA,NA,"N",-8,"Dead"
"126",14,"Seattle","OR",2023,2023-04-06,53,14.4,"Alive",NA,2020-02-08,14,NA,NA,"N",1153,"Dead"
"127",14,"Seattle","OR",2024,2024-06-17,NA,NA,"Dead",NA,2020-02-08,14,NA,2024,"N",1591,"Dead"
"128",14,"Seattle","OR",2025,2025-06-11,NA,NA,"Dead",NA,2020-02-08,14,NA,NA,"N",1950,"Dead"
"129",14,"Seattle","WA",2022,2020-01-31,86.2,11,"Alive",NA,2020-02-08,259,85,NA,"N",-8,"Alive"
"130",14,"Seattle","WA",2023,2023-04-06,92,13.5,"Alive",NA,2020-02-08,259,85,NA,"N",1153,"Alive"
"131",14,"Seattle","WA",2024,2024-06-17,131,30,"Alive",NA,2020-02-08,259,85,2024,"N",1591,"Alive"
"132",14,"Seattle","WA",2025,2025-06-11,165,45.7,"Alive",NA,2020-02-08,259,85,NA,"N",1950,"Alive"
"133",14,"Seattle","WA",2026,2026-05-01,183,55.23,"Alive","minor flagging, brown tips",2020-02-08,259,85,NA,"N",2274,"Alive"
"134",15,"Seattle","OR",2022,2020-01-31,59,7.1,"Alive",NA,2020-02-08,15,92,NA,"N",-8,"Alive"
"135",15,"Seattle","OR",2023,2023-04-06,61,22.4,"Alive",NA,2020-02-08,15,92,NA,"N",1153,"Alive"
"136",15,"Seattle","OR",2024,2024-06-17,102,25.8,"Alive",NA,2020-02-08,15,92,2024,"N",1591,"Alive"
"137",15,"Seattle","OR",2025,2025-06-11,110,33.8,"Alive",NA,2020-02-08,15,92,NA,"N",1950,"Alive"
"138",15,"Seattle","OR",2026,2026-05-01,125,35.73,"Alive",NA,2020-02-08,15,92,NA,"N",2274,"Alive"
"139",15,"Seattle","WA",2022,2020-01-31,70,9.2,"Alive",NA,2020-02-08,260,86,NA,"N",-8,"Alive"
"140",15,"Seattle","WA",2023,2023-04-06,76,12.4,"Alive",NA,2020-02-08,260,86,NA,"N",1153,"Alive"
"141",15,"Seattle","WA",2024,2024-06-17,115,24.6,"Alive",NA,2020-02-08,260,86,2024,"N",1591,"Alive"
"142",15,"Seattle","WA",2025,2025-06-11,152,48.8,"Alive",NA,2020-02-08,260,86,NA,"N",1950,"Alive"
"143",15,"Seattle","WA",2026,2026-05-01,165,50.39,"Alive","minor flagging",2020-02-08,260,86,NA,"N",2274,"Alive"
"144",16,"Seattle","OR",2022,2020-01-31,96,10.3,"Alive","two tops, measured tallest",2020-02-08,16,93,NA,"N",-8,"Alive"
"145",16,"Seattle","OR",2023,2023-04-06,102,15.5,"Alive","2 leaders",2020-02-08,16,93,NA,"N",1153,"Alive"
"146",16,"Seattle","OR",2024,2024-06-17,127,26.7,"Alive","Two leaders",2020-02-08,16,93,2024,"N",1591,"Alive"
"147",16,"Seattle","OR",2025,2025-06-11,179,48.3,"Alive","Two leaders",2020-02-08,16,93,NA,"N",1950,"Alive"
"148",16,"Seattle","OR",2026,2026-05-01,191,51.6,"Alive","two leads, mechanical damage near base (prev yrs)",2020-02-08,16,93,NA,"N",2274,"Alive"
"149",16,"Seattle","WA",2022,2020-01-31,69,10.2,"Alive","two tops, more orange than red, tree may be dying",2020-02-08,261,87,NA,"N",-8,"Alive"
"150",16,"Seattle","WA",2023,2023-04-06,82,13.2,"Alive","cones",2020-02-08,261,87,NA,"N",1153,"Alive"
"151",16,"Seattle","WA",2024,2024-06-17,144,37.3,"Alive",NA,2020-02-08,261,87,2024,"N",1591,"Alive"
"152",16,"Seattle","WA",2025,2025-06-11,187,58.8,"Alive","Wound on side, flagging, cones",2020-02-08,261,87,NA,"N",1950,"Alive"
"153",16,"Seattle","WA",2026,2026-05-01,220,58.08,"Alive","mechanical damage (prev yrs) on middle stem, minor flagging",2020-02-08,261,87,NA,"N",2274,"Alive"
"154",17,"Seattle","OR",2022,2020-01-31,78.3,7.7,"Alive",NA,2020-02-08,17,94,NA,"N",-8,"Alive"
"155",17,"Seattle","OR",2023,2023-04-06,86,13.4,"Alive",NA,2020-02-08,17,94,NA,"N",1153,"Alive"
"156",17,"Seattle","OR",2024,2024-06-17,126,25,"Alive",NA,2020-02-08,17,94,2024,"N",1591,"Alive"
"157",17,"Seattle","OR",2025,2025-06-11,143,33.9,"Alive",NA,2020-02-08,17,94,NA,"N",1950,"Alive"
"158",17,"Seattle","OR",2026,2026-05-01,151,33.95,"Alive",NA,2020-02-08,17,94,NA,"N",2274,"Alive"
"159",17,"Seattle","WA",2022,2020-01-31,78,8.3,"Alive",NA,2020-02-08,262,95,NA,"N",-8,"Alive"
"160",17,"Seattle","WA",2023,2023-04-06,93,16.9,"Alive",NA,2020-02-08,262,95,NA,"N",1153,"Alive"
"161",17,"Seattle","WA",2024,2024-06-17,140,26.1,"Alive",NA,2020-02-08,262,95,2024,"N",1591,"Alive"
"162",17,"Seattle","WA",2025,2025-06-11,187,45.5,"Alive","Mechanical damage/flagging",2020-02-08,262,95,NA,"N",1950,"Alive"
"163",17,"Seattle","WA",2026,2026-05-01,206,48.1,"Alive","minor flagging",2020-02-08,262,95,NA,"N",2274,"Alive"
"164",18,"Seattle","OR",2022,2020-01-31,90.2,8.5,"Alive",NA,2020-02-08,18,NA,NA,"N",-8,"Missing"
"165",18,"Seattle","OR",2023,2023-04-06,NA,NA,"Missing",NA,2020-02-08,18,NA,NA,"N",1153,"Missing"
"166",18,"Seattle","OR",2024,2024-06-17,NA,NA,"Missing",NA,2020-02-08,18,NA,2024,"N",1591,"Missing"
"167",18,"Seattle","OR",2025,2025-06-11,NA,NA,"Missing",NA,2020-02-08,18,NA,NA,"N",1950,"Missing"
"168",18,"Seattle","WA",2022,2020-01-31,90.6,8.6,"Alive",NA,2020-02-08,263,96,NA,"N",-8,"Alive"
"169",18,"Seattle","WA",2023,2023-04-06,108,14.5,"Alive",NA,2020-02-08,263,96,NA,"N",1153,"Alive"
"170",18,"Seattle","WA",2024,2024-06-17,141,27.5,"Alive",NA,2020-02-08,263,96,2024,"N",1591,"Alive"
"171",18,"Seattle","WA",2025,2025-06-11,164,32.6,"Alive","Thin canopy, browning leaves",2020-02-08,263,96,NA,"N",1950,"Alive"
"172",18,"Seattle","WA",2026,2026-05-01,176,33.5,"Alive","minor thinning, severe mechanical damage (prev yrs)",2020-02-08,263,96,NA,"N",2274,"Alive"
"173",19,"Seattle","OR",2022,2020-01-31,100,9.6,"Alive",NA,2020-02-08,19,105,NA,"N",-8,"Alive"
"174",19,"Seattle","OR",2023,2023-04-06,111,15.9,"Alive",NA,2020-02-08,19,105,NA,"N",1153,"Alive"
"175",19,"Seattle","OR",2024,2024-06-17,144,29.7,"Alive","Black spots on leaves",2020-02-08,19,105,2024,"N",1591,"Alive"
"176",19,"Seattle","OR",2025,2025-06-11,183,39.4,"Alive","No tag/flagging/mechanical damage",2020-02-08,19,105,NA,"N",1950,"Alive"
"177",19,"Seattle","OR",2026,2026-05-01,197,45.35,"Alive","major mechanical damage (prev yrs), thinning",2020-02-08,19,105,NA,"N",2274,"Alive"
"178",19,"Seattle","WA",2022,2020-01-31,88,8.4,"Alive",NA,2020-02-08,264,NA,NA,"N",-8,"Dead"
"179",19,"Seattle","WA",2023,2023-04-06,85,9.7,"Dead",NA,2020-02-08,264,NA,NA,"N",1153,"Dead"
"180",19,"Seattle","WA",2024,2024-06-17,NA,NA,"Dead",NA,2020-02-08,264,NA,2024,"N",1591,"Dead"
"181",19,"Seattle","WA",2025,2025-06-11,NA,NA,"Dead",NA,2020-02-08,264,NA,NA,"N",1950,"Dead"
"182",20,"Seattle","OR",2022,2020-01-31,75.2,6.6,"Alive",NA,2020-02-08,20,NA,NA,"N",-8,"Missing"
"183",20,"Seattle","OR",2023,2023-04-06,NA,NA,"Missing",NA,2020-02-08,20,NA,NA,"N",1153,"Missing"
"184",20,"Seattle","OR",2024,2024-06-17,NA,NA,"Missing",NA,2020-02-08,20,NA,2024,"N",1591,"Missing"
"185",20,"Seattle","OR",2025,2025-06-11,NA,NA,"Missing",NA,2020-02-08,20,NA,NA,"N",1950,"Missing"
"186",20,"Seattle","WA",2022,2020-01-31,84.8,9,"Alive",NA,2020-02-08,265,97,NA,"N",-8,"Alive"
"187",20,"Seattle","WA",2023,2023-04-06,91,15.3,"Alive",NA,2020-02-08,265,97,NA,"N",1153,"Alive"
"188",20,"Seattle","WA",2024,2024-06-17,126,28.9,"Alive",NA,2020-02-08,265,97,2024,"N",1591,"Alive"
"189",20,"Seattle","WA",2025,2025-06-11,170,48.2,"Alive","Cones",2020-02-08,265,97,NA,"N",1950,"Alive"
"190",20,"Seattle","WA",2026,2026-05-01,195,57,"Alive",NA,2020-02-08,265,97,NA,"N",2274,"Alive"
"191",21,"Seattle","OR",2022,2020-01-31,66,6,"Alive",NA,2020-02-08,21,106,NA,"N",-8,"Alive"
"192",21,"Seattle","OR",2023,2023-04-06,83,13.4,"Alive",NA,2020-02-08,21,106,NA,"N",1153,"Alive"
"193",21,"Seattle","OR",2024,2024-06-17,116,28.2,"Alive",NA,2020-02-08,21,106,2024,"N",1591,"Alive"
"194",21,"Seattle","OR",2025,2025-06-11,142,40.9,"Alive",NA,2020-02-08,21,106,NA,"N",1950,"Alive"
"195",21,"Seattle","OR",2026,2026-05-01,158,48.63,"Alive",NA,2020-02-08,21,106,NA,"N",2274,"Alive"
"196",21,"Seattle","WA",2022,2020-01-31,70.2,9.8,"Alive",NA,2020-02-08,266,98,NA,"N",-8,"Alive"
"197",21,"Seattle","WA",2023,2023-04-06,89,14.7,"Alive",NA,2020-02-08,266,98,NA,"N",1153,"Alive"
"198",21,"Seattle","WA",2024,2024-06-17,133,27.9,"Alive",NA,2020-02-08,266,98,2024,"N",1591,"Alive"
"199",21,"Seattle","WA",2025,2025-06-11,149,48.9,"Alive",NA,2020-02-08,266,98,NA,"N",1950,"Alive"
"200",21,"Seattle","WA",2026,2026-05-01,162,47.93,"Alive",NA,2020-02-08,266,98,NA,"N",2274,"Alive"
"201",22,"Seattle","OR",2022,2020-01-31,87.4,9.4,"Alive",NA,2020-02-08,22,107,NA,"N",-8,"Alive"
"202",22,"Seattle","OR",2023,2023-04-06,85,14.6,"Alive",NA,2020-02-08,22,107,NA,"N",1153,"Alive"
"203",22,"Seattle","OR",2024,2024-06-17,129,25.3,"Alive",NA,2020-02-08,22,107,2024,"N",1591,"Alive"
"204",22,"Seattle","OR",2025,2025-06-11,135,45.7,"Alive","Wound on bottom",2020-02-08,22,107,NA,"N",1950,"Alive"
"205",22,"Seattle","OR",2026,2026-05-01,150,56.26,"Alive",NA,2020-02-08,22,107,NA,"N",2274,"Alive"
"206",22,"Seattle","WA",2022,2020-01-31,71.2,8.3,"Alive",NA,2020-02-08,267,99,NA,"N",-8,"Alive"
"207",22,"Seattle","WA",2023,2023-04-06,75,14.5,"Alive",NA,2020-02-08,267,99,NA,"N",1153,"Alive"
"208",22,"Seattle","WA",2024,2024-06-17,112,25.1,"Alive",NA,2020-02-08,267,99,2024,"N",1591,"Alive"
"209",22,"Seattle","WA",2025,2025-06-11,156,45.2,"Alive","Cones",2020-02-08,267,99,NA,"N",1950,"Alive"
